Moeda Origem,Moeda Destino,Valor Compra,Valor Venda
Dolar,Real,"5,72","5,86"
Euro,Dolar,"1,04","1,15"
Euro,Real,"5,93","6,70"
Dolar,Peso Argentino,"0,00","0,00"
